DepartureCity,ArrivalCity,DepartureTime,ArrivalTime,DepartureTimezone,ArrivalTimezone,AirlineCode,EffectiveDate,FlightNumber,DayOfOperationMonday,DayOfOperationTuesday,DayOfOperationWednesday,DayOfOperationThursday,DayOfOperationFriday,DayOfOperationSaturday,DayOfOperationSunday,DiscontinueDate,ScheduleEffectiveDate,VariationDepartureTimeCode,VariationArrivalTimeCode,FlightDistance
SEA,SFO,1836,2044,-700,-700,NEO,5/15/16,214,,,,,,,7,5/19/16,00:00.0,0,0,679
SFO,ORD,2256,500,-700,-500,NEO,5/15/16,214,,,,,,,7,5/19/16,00:00.0,0,1,1841
SEA,SFO,1836,2045,-700,-700,NEO,5/15/16,214,1,,,,,,,5/19/16,00:00.0,0,0,679
EWR,AMS,1745,715,-500,100,NEO,11/6/16,70,1,2,3,4,5,6,7,1/3/17,00:00.0,0,1,3644
EWR,AMS,1730,715,-500,100,NEO,1/4/17,70,1,2,3,4,5,6,7,3/1/17,00:00.0,0,1,3644
EWR,AMS,1745,715,-500,100,NEO,3/2/17,70,1,2,3,4,5,6,7,12/31/29,00:00.0,0,1,3644
ORD,BDL,1750,2100,-500,-400,NEO,5/5/16,442,,,,4,,,,5/5/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,5/6/16,442,,,,,,,7,5/11/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,5/6/16,442,1,,,,5,,,5/11/16,00:00.0,0,0,780
ORD,BDL,1750,2103,-500,-400,NEO,5/6/16,442,,2,,,,,,5/11/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,5/6/16,442,,,3,,,,,5/11/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,5/6/16,442,,,,,,6,,5/11/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,5/12/16,442,,,,,,,7,5/17/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,5/12/16,442,1,,,4,5,,,5/17/16,00:00.0,0,0,780
ORD,BDL,1750,2103,-500,-400,NEO,5/12/16,442,,2,,,,,,5/17/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,5/12/16,442,,,,,,6,,5/17/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,5/18/16,442,,,,,,,7,5/23/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,5/18/16,442,,,3,,,,,5/23/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,5/18/16,442,,,,,,6,,5/23/16,00:00.0,0,0,780
ORD,BDL,1750,2103,-500,-400,NEO,5/28/16,442,,,,,,6,,5/28/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,5/30/16,442,1,2,,,,,,5/31/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,6/1/16,442,1,,,,,,7,6/6/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,6/1/16,442,,,3,,,,,6/6/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,6/1/16,442,,,,4,5,6,,6/6/16,00:00.0,0,0,780
ORD,BDL,1750,2100,-500,-400,NEO,6/7/16,442,,2,,,,,,6/7/16,00:00.0,0,0,780
ORD,BDL,1735,2037,-600,-500,NEO,11/21/16,442,1,2,3,,5,,7,11/27/16,00:00.0,0,0,780
ORD,BDL,1735,2037,-600,-500,NEO,11/28/16,442,1,2,3,4,5,,7,12/16/16,00:00.0,0,0,780
ORD,BDL,1735,2037,-600,-500,NEO,12/19/16,442,1,2,3,4,5,,,12/30/16,00:00.0,0,0,780
ORD,BDL,1735,2037,-600,-500,NEO,1/2/17,442,1,2,3,4,5,,7,12/31/29,00:00.0,0,0,780
ATL,IAH,817,940,-400,-500,NEO,5/25/16,3,,,,,,,7,5/29/16,00:00.0,0,0,688
HNL,EWR,1455,642,-1000,-400,NEO,5/10/16,14,,2,,,,,,5/24/16,00:00.0,0,1,4951
HNL,EWR,1455,642,-1000,-400,NEO,5/11/16,14,,,3,,,,,5/18/16,00:00.0,0,1,4951
HNL,EWR,1455,642,-1000,-400,NEO,5/12/16,14,,,,4,,,,5/19/16,00:00.0,0,1,4951
HNL,EWR,1455,642,-1000,-400,NEO,5/13/16,14,,,,,5,,,5/20/16,00:00.0,0,1,4951
HNL,EWR,1455,642,-1000,-400,NEO,5/14/16,14,,,,,,6,,5/21/16,00:00.0,0,1,4951
HNL,EWR,1455,642,-1000,-400,NEO,5/15/16,14,,,,,,,7,5/22/16,00:00.0,0,1,4951
HNL,EWR,1455,642,-1000,-400,NEO,5/9/16,14,1,,,,,,,5/23/16,00:00.0,0,1,4951
HNL,EWR,1455,642,-1000,-400,NEO,4/25/16,14,,2,3,4,5,6,7,5/8/16,00:00.0,0,1,4951
HNL,EWR,1451,629,-1000,-400,NEO,4/25/16,14,1,,,,,,,5/8/16,00:00.0,0,1,4951
IAD,BDL,1731,1856,-400,-400,NEO,4/25/16,147,1,,,,,,,5/2/16,00:00.0,0,0,325
IAD,BDL,1731,1856,-400,-400,NEO,4/26/16,147,,2,,,,,,5/3/16,00:00.0,0,0,325
IAD,BDL,1731,1856,-400,-400,NEO,4/27/16,147,,,3,,,,,5/4/16,00:00.0,0,0,325
IAD,BDL,1731,1856,-400,-400,NEO,4/28/16,147,,,,4,,,,4/28/16,00:00.0,0,0,325
IAD,BDL,1731,1856,-400,-400,NEO,4/29/16,147,,,,,5,,,4/29/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,5/9/16,147,1,,,,,,,5/23/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,5/11/16,147,,,3,,,,,5/25/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,5/5/16,147,,,,4,,,,5/26/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,5/6/16,147,,,,,5,,,5/27/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,5/7/16,147,,,,,,6,,5/21/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,5/8/16,147,,,,,,,7,5/22/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,5/5/16,147,,2,,,,,,5/27/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,5/30/16,147,1,,,,,,,6/6/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,6/7/16,147,,2,,,,,,6/7/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,6/1/16,147,,,3,,,,,6/8/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,6/2/16,147,,,,4,,,,6/2/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,6/3/16,147,,,,,5,,,6/3/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,6/4/16,147,,,,,,6,,6/4/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,6/5/16,147,,,,,,,7,6/5/16,00:00.0,0,0,325
IAD,BDL,1733,1858,-400,-400,NEO,5/30/16,147,,2,,,,,,6/5/16,00:00.0,0,0,325
HNL,SFO,635,1456,-1000,-700,NEO,4/27/16,72,,,,,,6,,5/1/16,00:00.0,0,0,2394
HNL,SFO,635,1456,-1000,-700,NEO,5/2/16,72,1,,,,,,,5/2/16,00:00.0,0,0,2394
AUS,EWR,604,1045,-500,-400,NEO,5/5/16,117,,,,,,6,,5/22/16,00:00.0,0,0,1501
AUS,EWR,604,1045,-500,-400,NEO,5/23/16,117,,,,,,6,,5/28/16,00:00.0,0,0,1501
AUS,EWR,604,1048,-500,-400,NEO,5/31/16,117,,,,,,6,,6/5/16,00:00.0,0,0,1501
DFW,IAH,1345,1500,-500,-500,NEO,5/24/16,132,,2,,,,,,5/24/16,00:00.0,0,0,225
DFW,IAH,1345,1500,-500,-500,NEO,5/23/16,132,1,,,,,,,5/23/16,00:00.0,0,0,225
DFW,IAH,1345,1500,-500,-500,NEO,5/25/16,132,,,3,,,,,5/28/16,00:00.0,0,0,225
DFW,IAH,1345,1500,-500,-500,NEO,5/25/16,132,,,,4,5,,,5/28/16,00:00.0,0,0,225
DFW,IAH,1345,1500,-500,-500,NEO,5/31/16,132,,2,3,,,,7,6/8/16,00:00.0,0,0,225
DFW,IAH,1345,1500,-500,-500,NEO,5/31/16,132,1,,,4,5,,,6/8/16,00:00.0,0,0,225
EWR,LAX,1810,2104,-400,-700,NEO,7/5/16,275,,2,,,,,,8/9/16,00:00.0,0,0,2447
EWR,LAX,1810,2104,-400,-700,NEO,7/1/16,275,,,,,5,,,8/12/16,00:00.0,0,0,2447
EWR,LAX,1810,2104,-400,-700,NEO,7/3/16,275,,,,,,,7,8/14/16,00:00.0,0,0,2447
EWR,ATL,630,905,-500,-500,NEO,1/4/17,241,,,3,,,,,1/4/17,00:00.0,0,0,745
ATL,ORD,1000,1057,-500,-600,NEO,1/4/17,241,,,3,,,,,1/4/17,00:00.0,0,0,606
ORD,SEA,1220,1446,-600,-800,NEO,1/4/17,241,,,3,,,,,1/4/17,00:00.0,0,0,1715
EWR,LAX,1959,2305,-400,-700,NEO,5/5/16,275,,2,,,5,,7,5/29/16,00:00.0,0,0,2447
EWR,LAX,1959,2305,-400,-700,NEO,5/5/16,275,1,,,,,,,5/29/16,00:00.0,0,0,2447
EWR,ATL,630,905,-500,-500,NEO,1/5/17,241,,,,4,,,,1/5/17,00:00.0,0,0,745
ATL,ORD,1000,1057,-500,-600,NEO,1/5/17,241,,,,4,,,,1/5/17,00:00.0,0,0,606
ORD,SEA,1220,1446,-600,-800,NEO,1/5/17,241,,,,4,,,,1/5/17,00:00.0,0,0,1715
EWR,LAX,1959,2305,-400,-700,NEO,5/5/16,275,,,3,4,,,,5/29/16,00:00.0,0,0,2447
EWR,ATL,630,905,-500,-500,NEO,1/6/17,241,,,,,5,,,1/6/17,00:00.0,0,0,745
ATL,ORD,1000,1057,-500,-600,NEO,1/6/17,241,,,,,5,,,1/6/17,00:00.0,0,0,606
ORD,SEA,1220,1446,-600,-800,NEO,1/6/17,241,,,,,5,,,1/6/17,00:00.0,0,0,1715
ATL,ORD,1007,1115,-400,-500,NEO,5/6/16,241,,,,,,6,,5/7/16,00:00.0,0,0,606
ORD,SEA,1220,1450,-500,-700,NEO,5/6/16,241,,,,,,6,,5/7/16,00:00.0,0,0,1715
ATL,ORD,1007,1115,-400,-500,NEO,5/12/16,241,,,,,,6,,5/14/16,00:00.0,0,0,606
ORD,SEA,1220,1450,-500,-700,NEO,5/12/16,241,,,,,,6,,5/14/16,00:00.0,0,0,1715
EWR,LAX,2000,2306,-400,-700,NEO,5/30/16,275,1,,,,,,,5/30/16,00:00.0,0,0,2447
ATL,ORD,1007,1115,-400,-500,NEO,5/21/16,241,,,,,,6,,5/22/16,00:00.0,0,0,606
ORD,SEA,1220,1450,-500,-700,NEO,5/21/16,241,,,,,,6,,5/22/16,00:00.0,0,0,1715
EWR,LAX,1959,2305,-400,-700,NEO,5/31/16,275,,2,,,,,,5/31/16,00:00.0,0,0,2447
EWR,ATL,610,848,-400,-400,NEO,5/29/16,241,,,,,,,7,5/29/16,00:00.0,0,0,745
ATL,ORD,1006,1114,-400,-500,NEO,5/30/16,241,1,,,,,,,5/30/16,00:00.0,0,0,606
ORD,SEA,1215,1447,-500,-700,NEO,5/30/16,241,1,,,,,,,5/30/16,00:00.0,0,0,1715
EWR,LAX,1959,2305,-400,-700,NEO,6/1/16,275,1,,3,,5,,7,6/6/16,00:00.0,0,0,2447
ATL,ORD,1007,1115,-400,-500,NEO,6/4/16,241,,,,,,6,,6/4/16,00:00.0,0,0,606
ORD,SEA,1220,1452,-500,-700,NEO,6/4/16,241,,,,,,6,,6/4/16,00:00.0,0,0,1715
EWR,ATL,630,905,-500,-500,NEO,1/9/17,241,1,,,,5,,,12/31/29,00:00.0,0,0,745
ATL,ORD,1000,1057,-500,-600,NEO,1/9/17,241,1,,,,5,,,12/31/29,00:00.0,0,0,606
ORD,SEA,1220,1446,-600,-800,NEO,1/9/17,241,1,,,,5,,,12/31/29,00:00.0,0,0,1715
EWR,LAX,1959,2305,-400,-700,NEO,6/1/16,275,,,,4,,,,6/6/16,00:00.0,0,0,2447
ATL,ORD,1000,1057,-500,-600,NEO,1/1/17,241,,,,,,6,,1/8/17,00:00.0,0,0,606
ORD,SEA,1220,1446,-600,-800,NEO,1/1/17,241,,,,,,6,,1/8/17,00:00.0,0,0,1715
EWR,LAX,1959,2305,-400,-700,NEO,6/7/16,275,,2,,,,,,6/8/16,00:00.0,0,0,2447
EWR,LAX,1959,2305,-400,-700,NEO,6/7/16,275,,,3,,,,,6/8/16,00:00.0,0,0,2447
EWR,LAX,1810,2104,-400,-700,NEO,8/15/16,275,1,2,,,,,,8/16/16,00:00.0,0,0,2447
EWR,LAX,1810,2104,-400,-700,NEO,8/17/16,275,1,2,3,4,5,,7,9/3/16,00:00.0,0,0,2447
EWR,LAX,1810,2104,-400,-700,NEO,8/17/16,275,,,,,,6,,9/3/16,00:00.0,0,0,2447
EWR,LAX,1810,2104,-400,-700,NEO,9/4/16,275,,,,,,,7,9/4/16,00:00.0,0,0,2447
EWR,LAX,1825,2119,-400,-700,NEO,9/12/16,275,1,,,,,,,10/24/16,00:00.0,0,0,2447
EWR,LAX,1825,2119,-400,-700,NEO,9/7/16,275,,,3,,,,,10/26/16,00:00.0,0,0,2447
EWR,LAX,1825,2119,-400,-700,NEO,9/8/16,275,,,,4,,,,10/27/16,00:00.0,0,0,2447
EWR,LAX,1825,2119,-400,-700,NEO,9/9/16,275,,,,,5,,,10/28/16,00:00.0,0,0,2447
EWR,LAX,1825,2119,-400,-700,NEO,9/11/16,275,,,,,,,7,10/23/16,00:00.0,0,0,2447
EWR,LAX,1825,2119,-400,-700,NEO,9/13/16,275,,2,,,,,,10/25/16,00:00.0,0,0,2447
EWR,LAX,1810,2104,-400,-700,NEO,9/5/16,275,1,2,,,,,,9/6/16,00:00.0,0,0,2447
ATL,IAH,600,722,-400,-500,NEO,5/5/16,210,,,,,,,7,5/14/16,00:00.0,0,0,688
ATL,IAH,600,722,-400,-500,NEO,5/15/16,210,,,,,,,7,5/23/16,00:00.0,0,0,688
ATL,IAH,600,722,-400,-500,NEO,5/24/16,210,,,,,,,7,5/29/16,00:00.0,0,0,688
ATL,IAH,600,722,-400,-500,NEO,5/30/16,210,1,,,,,,,5/30/16,00:00.0,0,0,688
ATL,IAH,600,722,-400,-500,NEO,5/31/16,210,,,,,,,7,6/5/16,00:00.0,0,0,688
SFO,SEA,635,848,-700,-700,NEO,5/5/16,273,,,,,,6,,5/27/16,00:00.0,0,0,679
SFO,SEA,635,848,-700,-700,NEO,6/4/16,273,,,,,,6,,6/4/16,00:00.0,0,0,679
EWR,SEA,729,1042,-400,-700,NEO,5/5/16,280,,,,4,,,,5/18/16,00:00.0,0,0,2394
SEA,IAH,1348,2009,-700,-500,NEO,5/5/16,280,,,,4,,,,5/18/16,00:00.0,0,0,1871
EWR,SEA,729,1042,-400,-700,NEO,5/19/16,280,,,,4,,,,5/22/16,00:00.0,0,0,2394
SEA,IAH,1348,2009,-700,-500,NEO,5/19/16,280,,,,4,,,,5/22/16,00:00.0,0,0,1871
EWR,SEA,729,1042,-400,-700,NEO,5/25/16,280,,,3,,,,,5/25/16,00:00.0,0,0,2394
SEA,IAH,1343,2002,-700,-500,NEO,5/25/16,280,,,3,,,,,5/25/16,00:00.0,0,0,1871
SEA,DEN,545,920,-800,-700,NEO,1/13/17,244,,,,,,,7,1/16/17,00:00.0,0,0,1021
DEN,ORD,1005,1324,-700,-600,NEO,1/13/17,244,,,,,,,7,1/16/17,00:00.0,0,0,885
LAX,ORD,1326,1938,-700,-500,NEO,5/5/16,283,,,,,,6,,5/22/16,00:00.0,0,0,1740
LAX,ORD,1326,1938,-700,-500,NEO,5/28/16,283,,,,,,6,,5/28/16,00:00.0,0,0,1740
DEN,ORD,1759,2129,-600,-500,NEO,5/5/16,254,,,,,,,7,5/9/16,00:00.0,0,0,885
DEN,ORD,1759,2129,-600,-500,NEO,5/19/16,254,,,,,,,7,5/27/16,00:00.0,0,0,885
LAX,ORD,1326,1940,-700,-500,NEO,5/30/16,283,,2,,,,,,5/31/16,00:00.0,0,0,1740
DEN,ORD,1756,2126,-600,-500,NEO,5/10/16,254,,,,,,,7,5/18/16,00:00.0,0,0,885
LAX,ORD,1326,1938,-700,-500,NEO,6/2/16,283,,,,,,6,,6/4/16,00:00.0,0,0,1740
DEN,ORD,1755,2125,-600,-500,NEO,5/5/16,254,,,3,,,,,5/24/16,00:00.0,0,0,885
DEN,ORD,1758,2128,-600,-500,NEO,5/25/16,254,,,3,,,,,5/27/16,00:00.0,0,0,885
LAX,ORD,1320,1919,-700,-500,NEO,10/3/16,283,1,,,,,,,10/5/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-700,-500,NEO,10/3/16,283,,2,,,,,,10/5/16,00:00.0,0,0,1740
IAD,LAX,1515,1800,-400,-700,NEO,5/5/16,209,1,,3,4,,,7,5/26/16,00:00.0,0,0,2281
LAX,ORD,1320,1919,-700,-500,NEO,10/3/16,283,,,3,,,,,10/5/16,00:00.0,0,0,1740
IAD,LAX,1515,1800,-400,-700,NEO,5/5/16,209,,2,,,,,,5/26/16,00:00.0,0,0,2281
LAX,ORD,1320,1919,-700,-500,NEO,10/6/16,283,,,,,,,7,10/9/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-700,-500,NEO,10/6/16,283,,,,4,,,,10/9/16,00:00.0,0,0,1740
SFO,LAX,1349,1518,-700,-700,NEO,5/5/16,207,,2,3,4,5,,,5/23/16,00:00.0,0,0,338
IAD,LAX,1515,1800,-400,-700,NEO,5/5/16,209,,,,,,6,,5/26/16,00:00.0,0,0,2281
DEN,SFO,600,743,-600,-700,NEO,5/28/16,256,,,,,,6,,5/28/16,00:00.0,0,0,965
SFO,LAX,933,1101,-700,-700,NEO,5/28/16,256,,,,,,6,,5/28/16,00:00.0,0,0,338
LAX,ORD,1320,1919,-700,-500,NEO,10/6/16,283,,,,,5,,,10/9/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-700,-500,NEO,10/6/16,283,,,,,,6,,10/9/16,00:00.0,0,0,1740
IAD,LAX,1515,1800,-400,-700,NEO,5/27/16,209,,,,,,6,,5/28/16,00:00.0,0,0,2281
LAX,ORD,1320,1919,-700,-500,NEO,10/10/16,283,,,,,,,7,10/23/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-700,-500,NEO,10/10/16,283,1,,,,5,,,10/23/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-700,-500,NEO,10/10/16,283,,2,,,,,,10/23/16,00:00.0,0,0,1740
IAH,ORD,510,756,-600,-600,NEO,2/5/17,215,,,,,,6,,12/31/29,00:00.0,0,0,926
LAX,ORD,1320,1919,-700,-500,NEO,10/10/16,283,,,3,,,,,10/23/16,00:00.0,0,0,1740
IAD,LAX,1515,1800,-400,-700,NEO,5/29/16,209,1,,,,,,7,5/30/16,00:00.0,0,0,2281
IAD,LAX,1515,1800,-400,-700,NEO,5/31/16,209,,,3,,,,,6/4/16,00:00.0,0,0,2281
LAX,ORD,1320,1919,-700,-500,NEO,10/10/16,283,,,,4,,,,10/23/16,00:00.0,0,0,1740
IAD,LAX,1515,1800,-400,-700,NEO,5/31/16,209,,,,4,,,,6/4/16,00:00.0,0,0,2281
LAX,ORD,1320,1919,-700,-500,NEO,10/10/16,283,,,,,,6,,10/23/16,00:00.0,0,0,1740
IAD,LAX,1515,1800,-400,-700,NEO,5/31/16,209,,,,,,6,,6/4/16,00:00.0,0,0,2281
LAX,ORD,1320,1919,-700,-500,NEO,10/24/16,283,1,,,,5,,,10/28/16,00:00.0,0,0,1740
SFO,LAX,1353,1522,-700,-700,NEO,5/29/16,207,,,,,,,7,5/29/16,00:00.0,0,0,338
SFO,LAX,1349,1517,-700,-700,NEO,5/30/16,207,1,,,,,,,5/30/16,00:00.0,0,0,338
LAX,ORD,1320,1919,-700,-500,NEO,10/24/16,283,,2,,,,,,10/28/16,00:00.0,0,0,1740
IAD,LAX,1515,1800,-400,-700,NEO,6/5/16,209,1,,,,,,7,6/8/16,00:00.0,0,0,2281
IAD,LAX,1515,1800,-400,-700,NEO,6/5/16,209,,,3,,,,,6/8/16,00:00.0,0,0,2281
SFO,LAX,1349,1518,-700,-700,NEO,5/31/16,207,,2,3,4,5,,,6/3/16,00:00.0,0,0,338
LAX,ORD,1320,1919,-700,-500,NEO,10/24/16,283,,,3,,,,,10/28/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-700,-500,NEO,10/24/16,283,,,,4,,,,10/28/16,00:00.0,0,0,1740
SFO,LAX,1349,1518,-700,-700,NEO,6/6/16,207,1,,,,,,,6/8/16,00:00.0,0,0,338
LAX,ORD,1320,1919,-800,-600,NEO,11/6/16,283,,,,,,,7,11/6/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,11/7/16,283,,,,,,,7,11/20/16,00:00.0,0,0,1740
SFO,LAX,1349,1518,-700,-700,NEO,6/6/16,207,,2,3,,,,,6/8/16,00:00.0,0,0,338
LAX,ORD,1320,1919,-800,-600,NEO,11/12/16,283,,,,,,6,,11/19/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,11/7/16,283,1,,3,,5,,,11/20/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,11/7/16,283,,2,,4,,,,11/20/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,11/23/16,283,,,3,,,,,11/23/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,11/27/16,283,,,,,,,7,11/27/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,11/28/16,283,,,,,,,7,12/10/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,11/28/16,283,1,,3,,5,,,12/10/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,11/28/16,283,,2,,4,,,,12/10/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,12/11/16,283,,,,,,,7,12/18/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,12/3/16,283,,,,,,6,,12/10/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,12/11/16,283,1,,3,,5,6,,12/18/16,00:00.0,0,0,1740
ORD,HNL,915,1339,-500,-1000,NEO,5/5/16,219,,,,4,,,,6/2/16,00:00.0,0,0,4234
ORD,HNL,915,1339,-500,-1000,NEO,5/6/16,219,,,,,5,,,6/3/16,00:00.0,0,0,4234
LAX,ORD,1320,1919,-800,-600,NEO,12/11/16,283,,2,,4,,,,12/18/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,12/19/16,283,1,,3,,,,,12/24/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,12/19/16,283,,2,,4,,,,12/24/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,12/26/16,283,1,,,,,,,12/26/16,00:00.0,0,0,1740
SEA,SFO,720,929,-700,-700,NEO,7/10/16,294,,,,,,,7,8/14/16,00:00.0,0,0,679
SEA,SFO,720,929,-700,-700,NEO,7/3/16,294,,,,,,,7,7/3/16,00:00.0,0,0,679
LAX,ORD,1320,1919,-800,-600,NEO,12/27/16,283,,2,,,,,,12/28/16,00:00.0,0,0,1740
LAX,ORD,1320,1919,-800,-600,NEO,12/27/16,283,,,3,,,,,12/28/16,00:00.0,0,0,1740
DEN,AUS,1725,2028,-700,-600,NEO,1/2/17,289,,,,4,,,,2/12/17,00:00.0,0,0,775
DEN,AUS,1725,2028,-700,-600,NEO,2/13/17,289,,,,4,,,,12/31/29,00:00.0,0,0,775
LAX,ORD,1320,1919,-800,-600,NEO,12/29/16,283,,,,,,,7,1/1/17,00:00.0,0,0,1740
